date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:08	2403/2403	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:49:08%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Djava-software-engineering-august-2&format=xml	C:/drage/bootcampjs/bootcamp.lv/indexbb79.php	(from https://bootcamp.lv/?course=java-software-engineering-august-2)
21:49:08	823/823	---M--	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2018:49:09%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Ddevops-cloud-engineering-bootcamp	C:/drage/bootcampjs/bootcamp.lv/index6637.json	(from https://bootcamp.lv/?course=devops-cloud-engineering-bootcamp)
21:49:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2018:49:08%20GMT	https://bootcamp.lv/?p=431	C:/drage/bootcampjs/bootcamp.lv/index88c3.html	(from https://bootcamp.lv/?course=java-software-engineering-august-2)
21:49:08	2403/2403	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:49:09%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Ddevops-cloud-engineering-bootcamp&format=xml	C:/drage/bootcampjs/bootcamp.lv/index3af1.php	(from https://bootcamp.lv/?course=devops-cloud-engineering-bootcamp)
21:49:08	823/823	---M--	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2018:49:09%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Dpm-assistant-3	C:/drage/bootcampjs/bootcamp.lv/index01d4.json	(from https://bootcamp.lv/?course=pm-assistant-3)
21:49:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2018:49:09%20GMT	https://bootcamp.lv/?p=283	C:/drage/bootcampjs/bootcamp.lv/index30e3.html	(from https://bootcamp.lv/?course=devops-cloud-engineering-bootcamp)
21:49:08	2403/2403	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:49:09%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Dpm-assistant-3&format=xml	C:/drage/bootcampjs/bootcamp.lv/index5361.php	(from https://bootcamp.lv/?course=pm-assistant-3)
21:49:09	823/823	---M--	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2018:49:10%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Ddata-management-bootcamp	C:/drage/bootcampjs/bootcamp.lv/index272f.json	(from https://bootcamp.lv/?course=data-management-bootcamp)
21:49:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2018:49:09%20GMT	https://bootcamp.lv/?p=409	C:/drage/bootcampjs/bootcamp.lv/indexe145.html	(from https://bootcamp.lv/?course=pm-assistant-3)
21:49:09	2403/2403	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:49:10%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Ddata-management-bootcamp&format=xml	C:/drage/bootcampjs/bootcamp.lv/index4408.php	(from https://bootcamp.lv/?course=data-management-bootcamp)
21:49:09	823/823	---M--	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2018:49:10%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Dsap-business-data-management-and-migration-july	C:/drage/bootcampjs/bootcamp.lv/index6e3b.json	(from https://bootcamp.lv/?course=sap-business-data-management-and-migration-july)
21:49:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2018:49:10%20GMT	https://bootcamp.lv/?p=420	C:/drage/bootcampjs/bootcamp.lv/index17d3.html	(from https://bootcamp.lv/?course=data-management-bootcamp)
21:49:09	2403/2403	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:49:10%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Dsap-business-data-management-and-migration-july&format=xml	C:/drage/bootcampjs/bootcamp.lv/index54e2.php	(from https://bootcamp.lv/?course=sap-business-data-management-and-migration-july)
21:49:10	823/823	---M--	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2018:49:10%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Doracle-financials-consultant	C:/drage/bootcampjs/bootcamp.lv/indexa7cc.json	(from https://bootcamp.lv/?course=oracle-financials-consultant)
21:49:10	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2018:49:10%20GMT	https://bootcamp.lv/?p=432	C:/drage/bootcampjs/bootcamp.lv/indexecc4.html	(from https://bootcamp.lv/?course=sap-business-data-management-and-migration-july)
21:49:10	2403/2403	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2018:49:11%20GMT	https://bootcamp.lv/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fbootcamp.lv%2F%3Fcourse%3Doracle-financials-consultant&format=xml	C:/drage/bootcampjs/bootcamp.lv/index11df.php	(from https://bootcamp.lv/?course=oracle-financials-consultant)
21:49:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Jul%202020%2018:49:11%20GMT	https://bootcamp.lv/?p=439	C:/drage/bootcampjs/bootcamp.lv/indexfcc0.html	(from https://bootcamp.lv/?course=oracle-financials-consultant)
21:49:55	809/809	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ec391dc7604ee9c5c288925e8b22f1d4-gzip%22	https://bootcamp.lv/?feed=rss2&author=1	C:/drage/bootcampjs/bootcamp.lv/index78a0.html	(from https://bootcamp.lv/?author=1)
